Airline,Date_of_Journey,Source,Destination,Dep_Time,Arrival_Time,Duration,Total_Stops,Price
Air India,16/07/2019,Delhi,Hyderabad,Morning,Night,4h 15m,non-stop,11039
Air India,30/05/2019,Bangalore,Hyderabad,Evening,Morning,2h 30m,2 stops,8584
Air India,01/11/2019,Bangalore,Delhi,Morning,Night,3h,1 stop,12397
Air India,29/08/2019,Mumbai,Hyderabad,Night,Morning,1h 45m,2 stops,13730
Air India,22/08/2019,Chennai,Cochin,Morning,Morning,2h 10m,1 stop,12641
Air India,05/06/2019,Mumbai,Hyderabad,Afternoon,Afternoon,2h 30m,non-stop,12514
Air India,30/01/2019,Chennai,Hyderabad,Night,Night,1h 45m,1 stop,5162
Air India,12/12/2019,Mumbai,Delhi,Evening,Night,2h 10m,1 stop,13741
Air India,01/08/2019,Delhi,Mumbai,Evening,Evening,2h 30m,2 stops,10983
Air India,18/08/2019,Chennai,Cochin,Night,Night,1h 45m,non-stop,11073
Air India,22/01/2019,Delhi,Cochin,Morning,Morning,3h,2 stops,3414
Air India,11/03/2019,Delhi,Cochin,Evening,Morning,2h 10m,non-stop,10293
Air India,05/10/2019,Kolkata,Mumbai,Evening,Evening,2h 10m,non-stop,4849
Air India,09/10/2019,Delhi,Cochin,Afternoon,Evening,1h 45m,2 stops,12541
Air India,31/01/2019,Delhi,Hyderabad,Evening,Evening,3h,2 stops,13392
Air India,20/02/2019,Bangalore,Mumbai,Morning,Morning,2h 30m,1 stop,12004
Air India,22/04/2019,Kolkata,Cochin,Morning,Morning,3h,non-stop,7755
Air India,22/06/2019,Bangalore,Cochin,Afternoon,Evening,4h 15m,2 stops,11902
Air India,18/03/2019,Mumbai,Delhi,Evening,Morning,3h,1 stop,3602
Air India,07/09/2019,Kolkata,Mumbai,Night,Night,4h 15m,1 stop,10631
Air India,01/12/2019,Mumbai,Delhi,Morning,Morning,1h 45m,2 stops,14144
Air India,05/08/2019,Kolkata,Hyderabad,Morning,Afternoon,1h 45m,non-stop,3383
Air India,20/09/2019,Chennai,Cochin,Morning,Afternoon,1h 45m,1 stop,12632
Air India,30/09/2019,Bangalore,Mumbai,Afternoon,Evening,1h 45m,non-stop,7536
Air India,16/06/2019,Bangalore,Mumbai,Night,Night,2h 10m,non-stop,6922
Air India,12/12/2019,Kolkata,Hyderabad,Morning,Afternoon,3h,2 stops,7924
Air India,05/08/2019,Chennai,Mumbai,Morning,Evening,1h 45m,1 stop,3178
Air India,22/07/2019,Mumbai,Cochin,Evening,Night,2h 10m,2 stops,3693
Air India,05/08/2019,Chennai,Mumbai,Morning,Night,3h,1 stop,9782
Air India,30/08/2019,Kolkata,Hyderabad,Afternoon,Night,3h,2 stops,12161
Air India,14/09/2019,Chennai,Kolkata,Evening,Afternoon,2h 30m,2 stops,7436
Air India,05/03/2019,Bangalore,Mumbai,Evening,Night,4h 15m,1 stop,11624
Air India,31/07/2019,Delhi,Kolkata,Evening,Afternoon,4h 15m,non-stop,14223
Air India,11/12/2019,Mumbai,Delhi,Morning,Afternoon,4h 15m,non-stop,9143
Air India,15/06/2019,Bangalore,Hyderabad,Morning,Afternoon,2h 30m,1 stop,4097
Air India,03/04/2019,Mumbai,Delhi,Night,Night,4h 15m,1 stop,7264
Air India,02/04/2019,Mumbai,Cochin,Morning,Morning,2h 10m,1 stop,4732
Air India,12/12/2019,Mumbai,Cochin,Morning,Afternoon,2h 30m,2 stops,6886
Air India,03/02/2019,Bangalore,Mumbai,Evening,Afternoon,2h 10m,2 stops,7166
Air India,05/03/2019,Mumbai,Cochin,Afternoon,Night,4h 15m,1 stop,8535
Air India,02/07/2019,Kolkata,Delhi,Night,Evening,2h 30m,non-stop,6807
Air India,06/07/2019,Delhi,Hyderabad,Evening,Evening,2h 30m,2 stops,8138
Air India,18/01/2019,Kolkata,Mumbai,Night,Evening,4h 15m,1 stop,10138
Air India,27/06/2019,Chennai,Mumbai,Afternoon,Afternoon,3h,1 stop,4854
Air India,12/02/2019,Bangalore,Delhi,Morning,Evening,4h 15m,2 stops,8564
Air India,06/01/2019,Kolkata,Delhi,Morning,Evening,1h 45m,non-stop,11105
Air India,20/10/2019,Bangalore,Mumbai,Night,Afternoon,4h 15m,1 stop,3228
Air India,28/01/2019,Chennai,Hyderabad,Night,Evening,2h 30m,2 stops,13981
Air India,16/01/2019,Delhi,Cochin,Night,Morning,2h 10m,1 stop,4786
Air India,01/04/2019,Mumbai,Delhi,Night,Morning,3h,2 stops,5319
Air India,30/12/2019,Chennai,Hyderabad,Evening,Night,3h,non-stop,4419
Air India,21/10/2019,Chennai,Cochin,Afternoon,Evening,1h 45m,2 stops,10683
Air India,28/08/2019,Bangalore,Mumbai,Night,Afternoon,3h,non-stop,9202
Air India,03/10/2019,Chennai,Hyderabad,Evening,Afternoon,2h 10m,1 stop,5452
Air India,07/07/2019,Delhi,Mumbai,Night,Morning,2h 10m,1 stop,4951
Air India,26/04/2019,Chennai,Mumbai,Afternoon,Night,4h 15m,1 stop,9991
Air India,23/11/2019,Chennai,Hyderabad,Morning,Morning,2h 30m,1 stop,8984
Air India,07/06/2019,Chennai,Mumbai,Morning,Afternoon,2h 30m,1 stop,13858
Air India,09/04/2019,Bangalore,Kolkata,Morning,Night,1h 45m,non-stop,4295
Air India,22/03/2019,Delhi,Cochin,Evening,Afternoon,2h 10m,non-stop,5818
Air India,16/12/2019,Bangalore,Hyderabad,Night,Evening,4h 15m,2 stops,11160
Air India,21/01/2019,Delhi,Kolkata,Evening,Evening,1h 45m,2 stops,5011
Air India,26/05/2019,Kolkata,Cochin,Afternoon,Afternoon,4h 15m,2 stops,12990
Air India,30/10/2019,Chennai,Delhi,Night,Night,2h 10m,non-stop,13116
Air India,08/01/2019,Kolkata,Hyderabad,Night,Night,3h,2 stops,12526
Air India,10/01/2019,Chennai,Hyderabad,Morning,Evening,1h 45m,non-stop,4291
Air India,23/12/2019,Mumbai,Kolkata,Morning,Afternoon,1h 45m,1 stop,6208
Air India,08/05/2019,Mumbai,Cochin,Evening,Morning,2h 30m,2 stops,14672
Air India,06/01/2019,Delhi,Hyderabad,Night,Afternoon,1h 45m,1 stop,12307
Air India,22/11/2019,Mumbai,Delhi,Evening,Morning,2h 10m,non-stop,13119
